ID,kayit_zamani,enlem,boylam,Tesis_Türü,Sonuç,Sızıntı_Olasılığı,Ses_Gücü
6161,24-10-31 10:06:35,39.95924302,32.87750104,Vana,N,0.00,0.93
6138,24-10-31 11:30:31,39.9602648,32.87762376,Sayaç,N,0.01,0.92
6254,24-10-31 14:23:08,39.95930971,32.87574571,Sayaç,N,0.00,0.92
6293,24-10-30 16:04:57,39.9612477,32.87271665,Sayaç,N,0.00,0.9
6117,24-10-30 15:51:50,39.95927299,32.87953902,Sayaç,N,0.00,0.87
6279,24-10-31 14:13:45,39.96215979,32.87649354,Sayaç,N,0.00,0.87
6104,24-10-31 11:36:14,39.96026502,32.87762405,Sayaç,N,0.00,0.86
6258,24-10-31 14:18:12,39.96007926,32.87930517,Sayaç,N,0.00,0.86
6286,24-10-30 16:04:51,39.95932873,32.87265882,Vana,N,0.00,0.85
6120,24-10-30 16:09:48,39.95927299,32.87953902,Sayaç,N,0.00,0.85
6311,24-10-31 11:40:21,39.96148773,32.87883746,Sayaç,N,0.00,0.85
6116,24-10-31 14:37:36,39.95945606,32.88019532,Sayaç,N,0.00,0.85
6264,24-10-31 15:11:19,39.96005296,32.88081301,Sayaç,N,0.00,0.84
6333,24-11-01 10:01:13,39.96038298,32.88433297,Sayaç,N,0.00,0.83
6379,24-10-30 15:29:46,39.96040299,32.88026354,Vana,N,0.00,0.81
6096,24-10-31 14:56:26,39.96035998,32.88118601,Sayaç,N,0.00,0.81
6320,24-10-31 10:29:04,39.96029846,32.87890585,Sayaç,N,0.00,0.78
6189,24-10-31 10:15:39,39.95910248,32.87720149,Sayaç,N,0.01,0.76
6309,24-10-31 14:35:50,39.96055399,32.88036996,Sayaç,N,0.00,0.76
6166,24-11-01 10:15:21,39.96125021,32.88279857,Sayaç,N,0.00,0.75
6401,24-10-31 14:55:26,39.95918623,32.8808642,Sayaç,N,0.00,0.74
6321,24-10-30 16:43:36,39.96074202,32.87485697,Sayaç,N,0.00,0.72
6253,24-10-31 11:21:24,39.9610154,32.8786202,Sayaç,N,0.00,0.72
6139,24-10-31 15:22:15,39.95942471,32.88152972,Sayaç,N,0.12,0.72
6340,24-10-30 15:49:10,39.95927299,32.87953902,Sayaç,N,0.00,0.71
6266,24-10-30 15:55:05,39.95927299,32.87953902,Sayaç,N,0.00,0.71
6235,24-10-31 10:07:23,39.95978085,32.8785984,Sayaç,N,0.00,0.71
6100,24-10-31 11:10:42,39.96034446,32.8752034,Sayaç,N,0.00,0.71
6162,24-10-31 13:56:01,39.96227999,32.87656799,Sayaç,N,0.00,0.71
6107,24-10-31 11:16:26,39.95990219,32.87612977,Sayaç,N,0.00,0.7
6248,24-10-31 10:55:38,39.96161756,32.87930517,Sayaç,N,0.00,0.69
6223,24-10-31 14:32:40,39.96040299,32.88026354,Vana,N,0.00,0.68
6305,24-10-31 14:35:15,39.95915205,32.87975242,Sayaç,N,0.00,0.66
6409,24-11-01 10:23:00,39.9601074,32.88375042,Sayaç,N,0.00,0.66
6308,24-10-31 15:01:36,39.960215,32.88166899,Sayaç,N,0.00,0.65
6325,24-10-31 15:25:48,39.9590089,32.88239339,Vana,N,0.00,0.65
6344,24-10-30 16:31:50,39.95979734,32.87479939,Sayaç,N,0.00,0.64
6132,24-10-31 14:52:04,39.95916438,32.88061811,Sayaç,N,0.00,0.63
6317,24-10-31 10:21:37,39.95910258,32.87720148,Sayaç,N,0.00,0.61
6207,24-10-31 10:41:23,39.959947,32.87792497,Sayaç,N,0.00,0.61
6175,24-10-31 10:54:37,39.96029692,32.87806967,Sayaç,N,0.00,0.61
